frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y,fly6_x,fly6_y,fly7_x,fly7_y,fly8_x,fly8_y,fly9_x,fly9_y,fly10_x,fly10_y,fly11_x,fly11_y,fly12_x,fly12_y,fly13_x,fly13_y,fly14_x,fly14_y,fly15_x,fly15_y
0,665.9396552,2240.1724137931033,466,2159,1124.5,833,1372,1868,1041,1358,1597,1038.5,1518,926,1434,907,1597,2041,1056.5,2005.5,120.75,1529.75,853,1311,662,2267,1516,924.75,788,2285
1,667.5862069,2231.896551724138,466,2159,1128.2,833.2,1372,1868,1041,1358,1592.8,1037.8,1518,925.8,1434,907,1597,2041,1052.4,2007.8,120.4,1530.2,853,1311,662,2267,1516,924.6,761.3,2319.2
2,669.2327586206897,2223.6206896551726,466,2159,1131.6666666666667,833.8333333333334,1372,1868,1041,1358,1588.5,1036.8333333333333,1518.1666666666667,925.6666666666666,1434,907,1597,2041,1048,2010.1666666666667,120,1530.5,853,1311,662,2267,1516,924.5,721.25,2369.8333333333335
3,670.8793103448277,2215.344827586207,466,2159,1134.5714285714287,834.4285714285714,1372,1868,1041,1358,1584.4285714285713,1035.4285714285713,1518.2857142857142,925.5714285714286,1434,907,1597,2041,1043.5714285714287,2012.4285714285713,119.71428571428571,1530.7142857142858,853.1428571428571,1310.857142857143,662,2267,1516,924.4285714285714,692.9285714285714,2405.8571428571427
4,674.1724137931034,2198.793103448276,466.14285714285717,2158.8571428571427,1140.5714285714287,834.8571428571429,1372,1868,1041,1357.857142857143,1576,1032.857142857143,1518.2857142857142,925.2857142857143,1434,907,1597,2041,1034.857142857143,2017,119.28571428571429,1531.142857142857,853.2857142857143,1310.7142857142858,662,2267,1515.857142857143,924.2857142857143,655.6428571428571,2454.714285714286
5,677.4655172413793,2182.2413793103447,466.42857142857144,2158.714285714286,1146.857142857143,835.5714285714286,1372.142857142857,1868,1041.142857142857,1357.7142857142858,1567.142857142857,1030.5714285714287,1518.2857142857142,925,1434.142857142857,906.8571428571429,1597,2041,1026.142857142857,2021.857142857143,118.71428571428571,1531.4285714285713,853.4285714285714,1310.5714285714287,662.1428571428571,2267,1515.7142857142858,924,619.0714285714286,2503
6,680.7586206896551,2165.689655172414,466.85714285714283,2158.5714285714284,1153.142857142857,836.4285714285714,1372.2857142857142,1868,1041.2857142857142,1357.5714285714287,1558,1028.2857142857142,1518.4285714285713,924.4285714285714,1434.142857142857,906.7142857142857,1597,2041,1017,2026.7142857142858,118.14285714285714,1531.7142857142858,853.5714285714286,1310.2857142857142,662.2857142857143,2266.8571428571427,1515.5714285714287,923.7142857142857,582.7857142857143,2551.1428571428573
7,684.0517241,2149.137931034483,467.2857142857143,2158.4285714285716,1159.2857142857142,837.2857142857143,1372.2857142857142,1867.857142857143,1041.4285714285713,1357.4285714285713,1548.857142857143,1025.857142857143,1518.4285714285713,923.8571428571429,1434.2857142857142,906.5714285714286,1597,2041,1007.5714285714286,2031.7142857142858,117.71428571428571,1532,853.7142857142857,1310,662.2857142857143,2266.8571428571427,1515.4285714285713,923.2857142857143,546.9285714285714,2599.4285714285716
8,687.3448275862069,2132.5862068965516,467.7142857142857,2158.4285714285716,1165.4285714285713,838.2857142857143,1372.2857142857142,1867.7142857142858,1041.4285714285713,1357.142857142857,1539.142857142857,1022.7142857142857,1518.4285714285713,923,1434.2857142857142,906.4285714285714,1597,2041,998.1428571428571,2036.857142857143,117.42857142857143,1532,853.8571428571429,1309.7142857142858,662.2857142857143,2266.8571428571427,1515.142857142857,922.5714285714286,530.4285714285714,2624
9,690.6379310344827,2116.0344827586205,468.2857142857143,2158.4285714285716,1171.5714285714287,839.1428571428571,1372.4285714285713,1867.5714285714287,1041.5714285714287,1357,1529.2857142857142,1019.4285714285714,1518.142857142857,922,1434.2857142857142,906.2857142857143,1597,2041,989.2857142857143,2042.142857142857,117.14285714285714,1532.142857142857,854,1309.4285714285713,662.2857142857143,2266.714285714286,1514.7142857142858,921.5714285714286,533.4285714285714,2625.1428571428573
